index,win,loss,teamId,timestamp,year,status_id
0,1,0,1610612740,2014-10-28 00:00:00,2014,2
1,1,0,1610612745,2014-10-28 00:00:00,2014,2
2,1,0,1610612759,2014-10-28 00:00:00,2014,2
3,0,0,1610612755,2014-10-28 00:00:00,2014,2
4,0,0,1610612749,2014-10-28 00:00:00,2014,2
5,0,0,1610612741,2014-10-28 00:00:00,2014,2
6,0,0,1610612739,2014-10-28 00:00:00,2014,2
7,0,0,1610612738,2014-10-28 00:00:00,2014,2
8,0,0,1610612746,2014-10-28 00:00:00,2014,2
9,0,0,1610612763,2014-10-28 00:00:00,2014,2
10,0,0,1610612737,2014-10-28 00:00:00,2014,2
11,0,0,1610612748,2014-10-28 00:00:00,2014,2
12,0,0,1610612766,2014-10-28 00:00:00,2014,2
13,0,0,1610612762,2014-10-28 00:00:00,2014,2
14,0,0,1610612758,2014-10-28 00:00:00,2014,2
15,0,0,1610612752,2014-10-28 00:00:00,2014,2
16,0,1,1610612747,2014-10-28 00:00:00,2014,2
17,0,1,1610612753,2014-10-28 00:00:00,2014,2
18,0,1,1610612742,2014-10-28 00:00:00,2014,2
19,0,0,1610612751,2014-10-28 00:00:00,2014,2
20,0,0,1610612743,2014-10-28 00:00:00,2014,2
21,0,0,1610612754,2014-10-28 00:00:00,2014,2
22,0,0,1610612765,2014-10-28 00:00:00,2014,2
23,0,0,1610612761,2014-10-28 00:00:00,2014,2
24,0,0,1610612756,2014-10-28 00:00:00,2014,2
25,0,0,1610612760,2014-10-28 00:00:00,2014,2
26,0,0,1610612750,2014-10-28 00:00:00,2014,2
27,0,0,1610612757,2014-10-28 00:00:00,2014,2
28,0,0,1610612744,2014-10-28 00:00:00,2014,2
29,0,0,1610612764,2014-10-28 00:00:00,2014,2
0,1,0,1610612741,2014-10-29 00:00:00,2014,2
1,1,0,1610612738,2014-10-29 00:00:00,2014,2
2,1,0,1610612763,2014-10-29 00:00:00,2014,2
3,1,0,1610612748,2014-10-29 00:00:00,2014,2
4,1,0,1610612766,2014-10-29 00:00:00,2014,2
5,1,0,1610612743,2014-10-29 00:00:00,2014,2
6,1,0,1610612754,2014-10-29 00:00:00,2014,2
7,1,0,1610612740,2014-10-29 00:00:00,2014,2
8,1,0,1610612761,2014-10-29 00:00:00,2014,2
9,2,0,1610612745,2014-10-29 00:00:00,2014,2
10,1,0,1610612759,2014-10-29 00:00:00,2014,2
11,1,0,1610612756,2014-10-29 00:00:00,2014,2
12,1,0,1610612757,2014-10-29 00:00:00,2014,2
13,1,0,1610612744,2014-10-29 00:00:00,2014,2
14,0,1,1610612755,2014-10-29 00:00:00,2014,2
15,0,1,1610612749,2014-10-29 00:00:00,2014,2
16,0,0,1610612739,2014-10-29 00:00:00,2014,2
17,0,0,1610612746,2014-10-29 00:00:00,2014,2
18,0,1,1610612737,2014-10-29 00:00:00,2014,2
19,0,1,1610612762,2014-10-29 00:00:00,2014,2
20,0,1,1610612758,2014-10-29 00:00:00,2014,2
21,0,1,1610612752,2014-10-29 00:00:00,2014,2
22,0,2,1610612747,2014-10-29 00:00:00,2014,2
23,0,1,1610612753,2014-10-29 00:00:00,2014,2
24,0,1,1610612742,2014-10-29 00:00:00,2014,2
25,0,1,1610612751,2014-10-29 00:00:00,2014,2
26,0,1,1610612765,2014-10-29 00:00:00,2014,2
27,0,1,1610612760,2014-10-29 00:00:00,2014,2
28,0,1,1610612750,2014-10-29 00:00:00,2014,2
29,0,1,1610612764,2014-10-29 00:00:00,2014,2
0,1,0,1610612741,2014-10-30 00:00:00,2014,2
1,1,0,1610612738,2014-10-30 00:00:00,2014,2
2,1,0,1610612746,2014-10-30 00:00:00,2014,2
3,1,0,1610612763,2014-10-30 00:00:00,2014,2
4,1,0,1610612748,2014-10-30 00:00:00,2014,2
5,1,0,1610612766,2014-10-30 00:00:00,2014,2
6,1,0,1610612743,2014-10-30 00:00:00,2014,2
7,1,0,1610612754,2014-10-30 00:00:00,2014,2
8,1,0,1610612740,2014-10-30 00:00:00,2014,2
9,1,0,1610612761,2014-10-30 00:00:00,2014,2
10,2,0,1610612745,2014-10-30 00:00:00,2014,2
11,1,0,1610612759,2014-10-30 00:00:00,2014,2
12,1,0,1610612756,2014-10-30 00:00:00,2014,2
13,1,0,1610612757,2014-10-30 00:00:00,2014,2
14,1,0,1610612744,2014-10-30 00:00:00,2014,2
15,1,1,1610612752,2014-10-30 00:00:00,2014,2
16,1,1,1610612742,2014-10-30 00:00:00,2014,2
17,1,1,1610612750,2014-10-30 00:00:00,2014,2
18,1,1,1610612764,2014-10-30 00:00:00,2014,2
19,0,1,1610612755,2014-10-30 00:00:00,2014,2
20,0,1,1610612749,2014-10-30 00:00:00,2014,2
21,0,1,1610612739,2014-10-30 00:00:00,2014,2
22,0,1,1610612737,2014-10-30 00:00:00,2014,2
23,0,2,1610612762,2014-10-30 00:00:00,2014,2
24,0,1,1610612758,2014-10-30 00:00:00,2014,2
25,0,2,1610612747,2014-10-30 00:00:00,2014,2
26,0,2,1610612753,2014-10-30 00:00:00,2014,2
27,0,1,1610612751,2014-10-30 00:00:00,2014,2
28,0,2,1610612765,2014-10-30 00:00:00,2014,2
29,0,2,1610612760,2014-10-30 00:00:00,2014,2
0,1,0,1610612738,2014-10-31 00:00:00,2014,2
1,2,0,1610612746,2014-10-31 00:00:00,2014,2
2,2,0,1610612763,2014-10-31 00:00:00,2014,2
3,1,0,1610612748,2014-10-31 00:00:00,2014,2
4,1,0,1610612766,2014-10-31 00:00:00,2014,2
